=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 28377 | Training...
step 28378 | Training...
step 28379 | Training...
step 28380 | Training...
step 28381 | Training...
step 28382 | Training...
step 28383 | Training...
step 28384 | Training...
step 28385 | Training...
step 28386 | Training...
step 28387 | Training...
step 28388 | Training...
step 28389 | Training...
step 28390 | Training...
step 28391 | Training...
step 28392 | Training...
step 28393 | Training...
step 28394 | Training...
step 28395 | Training...
step 28396 | Training...
step 28397 | Training...
step 28398 | Training...
step 28399 | Training...
step 28400 | Training...
step 28401 | Training...
step 28402 | Training...
step 28403 | Training...
step 28404 | Training...
step 28405 | Training...
step 28406 | Training...
step 28407 | Training...
step 28408 | Training...
step 28409 | Training...
step 28410 | Training...
step 28411 | Training...
step 28412 | Training...
step 28413 | Training...
step 28414 | Training...
step 28415 | Training...
step 28416 | Training...
step 28417 | Training...
step 28418 | Training...
step 28419 | Training...
step 28420 | Training...
step 28421 | Training...
step 28422 | Training...
step 28423 | Training...
step 28424 | Training...
step 28425 | Training...
step 28426 | Training...
step 28427 | Training...
step 28428 | Training...
step 28429 | Training...
step 28430 | Training...
step 28431 | Training...
step 28432 | Training...
step 28433 | Training...
step 28434 | Training...
step 28435 | Training...
step 28436 | Training...
step 28437 | Training...
step 28438 | Training...
step 28439 | Training...
step 28440 | Training...
step 28441 | Training...
step 28442 | Training...
step 28443 | Training...
step 28444 | Training...
step 28445 | Training...
step 28446 | Training...
step 28447 | Training...
step 28448 | Training...
step 28449 | Training...
step 28450 | Training...
step 28451 | Training...
step 28452 | Training...
step 28453 | Training...
step 28454 | Training...
step 28455 | Training...
step 28456 | Training...
step 28457 | Training...
step 28458 | Training...
step 28459 | Training...
step 28460 | Training...
step 28461 | Training...
step 28462 | Training...
step 28463 | Training...
step 28464 | Training...
step 28465 | Training...
step 28466 | Training...
step 28467 | Training...
step 28468 | Training...
step 28469 | Training...
step 28470 | Training...
step 28471 | Training...
step 28472 | Training...
step 28473 | Training...
step 28474 | Training...
step 28475 | Training...
step 28476 | Training...
step 28477 | Training...
step 28478 | Training...
step 28479 | Training...
step 28480 | Training...
step 28481 | Training...
step 28482 | Training...
step 28483 | Training...
step 28484 | Training...
step 28485 | Training...
step 28486 | Training...
step 28487 | Training...
step 28488 | Training...
step 28489 | Training...
step 28490 | Training...
step 28491 | Training...
step 28492 | Training...
step 28493 | Training...
step 28494 | Training...
step 28495 | Training...
step 28496 | Training...
step 28497 | Training...
step 28498 | Training...
step 28499 | Training...
step 28500 | Training...
step 28501 | Training...
step 28502 | Training...
step 28503 | Training...
step 28504 | Training...
step 28505 | Training...
step 28506 | Training...
step 28507 | Training...
step 28508 | Training...
step 28509 | Training...
step 28510 | Training...
step 28511 | Training...
step 28512 | Training...
step 28513 | Training...
step 28514 | Training...
step 28515 | Training...
step 28516 | Training...
step 28517 | Training...
step 28518 | Training...
step 28519 | Training...
step 28520 | Training...
step 28521 | Training...
step 28522 | Training...
step 28523 | Training...
step 28524 | Training...
step 28525 | Training...
step 28526 | Training...
step 28527 | Training...
step 28528 | Training...
step 28529 | Training...
step 28530 | Training...
step 28531 | Training...
step 28532 | Training...
step 28533 | Training...
step 28534 | Training...
step 28535 | Training...
step 28536 | Training...
step 28537 | Training...
step 28538 | Training...
step 28539 | Training...
step 28540 | Training...
step 28541 | Training...
step 28542 | Training...
step 28543 | Training...
step 28544 | Training...
step 28545 | Training...
step 28546 | Training...
step 28547 | Training...
step 28548 | Training...
step 28549 | Training...
step 28550 | Training...
step 28551 | Training...
step 28552 | Training...
step 28553 | Training...
step 28554 | Training...
step 28555 | Training...
step 28556 | Training...
step 28557 | Training...
step 28558 | Training...
step 28559 | Training...
step 28560 | Training...
step 28561 | Training...
step 28562 | Training...
step 28563 | Training...
step 28564 | Training...
step 28565 | Training...
step 28566 | Training...
step 28567 | Training...
step 28568 | Training...
step 28569 | Training...
step 28570 | Training...
step 28571 | Training...
step 28572 | Training...
step 28573 | Training...
step 28574 | Training...
step 28575 | Training...
step 28576 | Training...
step 28577 | Training...
step 28578 | Training...
step 28579 | Training...
step 28580 | Training...
step 28581 | Training...
step 28582 | Training...
step 28583 | Training...
step 28584 | Training...
step 28585 | Training...
step 28586 | Training...
step 28587 | Training...
step 28588 | Training...
step 28589 | Training...
step 28590 | Training...
step 28591 | Training...
step 28592 | Training...
step 28593 | Training...
step 28594 | Training...
step 28595 | Training...
step 28596 | Training...
step 28597 | Training...
step 28598 | Training...
step 28599 | Training...
step 28600 | Training...
step 28601 | Training...
step 28602 | Training...
step 28603 | Training...
step 28604 | Training...
step 28605 | Training...
step 28606 | Training...
step 28607 | Training...
step 28608 | Training...
step 28609 | Training...
step 28610 | Training...
step 28611 | Training...
step 28612 | Training...
step 28613 | Training...
step 28614 | Training...
step 28615 | Training...
step 28616 | Training...
step 28617 | Training...
step 28618 | Training...
step 28619 | Training...
step 28620 | Training...
step 28621 | Training...
step 28622 | Training...
step 28623 | Training...
step 28624 | Training...
step 28625 | Training...
step 28626 | Training...
step 28627 | Training...
step 28628 | Training...
step 28629 | Training...
step 28630 | Training...
step 28631 | Training...
step 28632 | Training...
step 28633 | Training...
step 28634 | Training...
step 28635 | Training...
step 28636 | Training...
step 28637 | Training...
step 28638 | Training...
step 28639 | Training...
step 28640 | Training...
step 28641 | Training...
step 28642 | Training...
step 28643 | Training...
step 28644 | Training...
step 28645 | Training...
step 28646 | Training...
step 28647 | Training...
step 28648 | Training...
step 28649 | Training...
step 28650 | Training...
step 28651 | Training...
step 28652 | Training...
step 28653 | Training...
step 28654 | Training...
step 28655 | Training...
step 28656 | Training...
step 28657 | Training...
step 28658 | Training...
step 28659 | Training...
step 28660 | Training...
step 28661 | Training...
step 28662 | Training...
step 28663 | Training...
step 28664 | Training...
step 28665 | Training...
step 28666 | Training...
step 28667 | Training...
step 28668 | Training...
step 28669 | Training...
step 28670 | Training...
step 28671 | Training...
step 28672 | Training...
step 28673 | Training...
step 28674 | Training...
step 28675 | Training...
step 28676 | Training...
step 28677 | Training...
step 28678 | Training...
step 28679 | Training...
step 28680 | Training...
step 28681 | Training...
step 28682 | Training...
step 28683 | Training...
step 28684 | Training...
step 28685 | Training...
step 28686 | Training...
step 28687 | Training...
step 28688 | Training...
step 28689 | Training...
step 28690 | Training...
step 28691 | Training...
step 28692 | Training...
step 28693 | Training...
step 28694 | Training...
step 28695 | Training...
step 28696 | Training...
step 28697 | Training...
step 28698 | Training...
step 28699 | Training...
step 28700 | Training...
step 28701 | Training...
step 28702 | Training...
step 28703 | Training...
step 28704 | Training...
step 28705 | Training...
step 28706 | Training...
step 28707 | Training...
step 28708 | Training...
step 28709 | Training...
step 28710 | Training...
step 28711 | Training...
step 28712 | Training...
step 28713 | Training...
step 28714 | Training...
step 28715 | Training...
step 28716 | Training...
step 28717 | Training...
step 28718 | Training...
step 28719 | Training...
step 28720 | Training...
step 28721 | Training...
step 28722 | Training...
step 28723 | Training...
step 28724 | Training...
step 28725 | Training...
step 28726 | Training...
step 28727 | Training...
step 28728 | Training...
step 28729 | Training...
step 28730 | Training...
step 28731 | Training...
step 28732 | Training...
step 28733 | Training...
step 28734 | Training...
step 28735 | Training...
step 28736 | Training...
step 28737 | Training...
step 28738 | Training...
step 28739 | Training...
step 28740 | Training...
step 28741 | Training...
step 28742 | Training...
step 28743 | Training...
step 28744 | Training...
step 28745 | Training...
step 28746 | Training...
step 28747 | Training...
step 28748 | Training...
step 28749 | Training...
step 28750 | Training...
step 28751 | Training...
step 28752 | Training...
step 28753 | Training...
step 28754 | Training...
step 28755 | Training...
step 28756 | Training...
step 28757 | Training...
step 28758 | Training...
step 28759 | Training...
step 28760 | Training...
step 28761 | Training...
step 28762 | Training...
step 28763 | Training...
step 28764 | Training...
step 28765 | Training...
step 28766 | Training...
step 28767 | Training...
step 28768 | Training...
step 28769 | Training...
step 28770 | Training...
step 28771 | Training...
step 28772 | Training...
step 28773 | Training...
step 28774 | Training...
step 28775 | Training...
step 28776 | Training...
step 28777 | Training...
step 28778 | Training...
step 28779 | Training...
step 28780 | Training...
step 28781 | Training...
step 28782 | Training...
step 28783 | Training...
step 28784 | Training...
step 28785 | Training...
step 28786 | Training...
step 28787 | Training...
step 28788 | Training...
step 28789 | Training...
step 28790 | Training...
step 28791 | Training...
step 28792 | Training...
step 28793 | Training...
step 28794 | Training...
step 28795 | Training...
step 28796 | Training...
step 28797 | Training...
step 28798 | Training...
step 28799 | Training...
step 28800 | Training...
step 28801 | Training...
step 28802 | Training...
step 28803 | Training...
step 28804 | Training...
step 28805 | Training...
step 28806 | Training...
step 28807 | Training...
step 28808 | Training...
step 28809 | Training...
step 28810 | Training...
step 28811 | Training...
step 28812 | Training...
step 28813 | Training...
step 28814 | Training...
step 28815 | Training...
step 28816 | Training...
step 28817 | Training...
step 28818 | Training...
step 28819 | Training...
step 28820 | Training...
step 28821 | Training...
step 28822 | Training...
step 28823 | Training...
step 28824 | Training...
step 28825 | Training...
step 28826 | Training...
step 28827 | Training...
step 28828 | Training...
step 28829 | Training...
step 28830 | Training...
step 28831 | Training...
step 28832 | Training...
step 28833 | Training...
step 28834 | Training...
step 28835 | Training...
step 28836 | Training...
step 28837 | Training...
step 28838 | Training...
step 28839 | Training...
step 28840 | Training...
step 28841 | Training...
step 28842 | Training...
step 28843 | Training...
step 28844 | Training...
step 28845 | Training...
step 28846 | Training...
step 28847 | Training...
step 28848 | Training...
step 28849 | Training...
step 28850 | Training...
step 28851 | Training...
step 28852 | Training...
step 28853 | Training...
step 28854 | Training...
step 28855 | Training...
step 28856 | Training...
step 28857 | Training...
step 28858 | Training...
step 28859 | Training...
step 28860 | Training...
step 28861 | Training...
step 28862 | Training...
step 28863 | Training...
step 28864 | Training...
step 28865 | Training...
step 28866 | Training...
step 28867 | Training...
step 28868 | Training...
step 28869 | Training...
step 28870 | Training...
step 28871 | Training...
step 28872 | Training...
step 28873 | Training...
step 28874 | Training...
step 28875 | Training...
step 28876 | Training...
step 28877 | Training...
step 28878 | Training...
step 28879 | Training...
step 28880 | Training...
step 28881 | Training...
step 28882 | Training...
step 28883 | Training...
step 28884 | Training...
step 28885 | Training...
step 28886 | Training...
step 28887 | Training...
step 28888 | Training...
step 28889 | Training...
step 28890 | Training...
step 28891 | Training...
step 28892 | Training...
step 28893 | Training...
step 28894 | Training...
step 28895 | Training...
step 28896 | Training...
step 28897 | Training...
step 28898 | Training...
step 28899 | Training...
step 28900 | Training...
step 28901 | Training...
step 28902 | Training...
step 28903 | Training...
step 28904 | Training...
step 28905 | Training...
step 28906 | Training...
step 28907 | Training...
step 28908 | Training...
step 28909 | Training...
step 28910 | Training...
step 28911 | Training...
step 28912 | Training...
step 28913 | Training...
step 28914 | Training...
step 28915 | Training...
step 28916 | Training...
step 28917 | Training...
step 28918 | Training...
step 28919 | Training...
step 28920 | Training...
step 28921 | Training...
step 28922 | Training...
step 28923 | Training...
step 28924 | Training...
step 28925 | Training...
step 28926 | Training...
step 28927 | Training...
step 28928 | Training...
step 28929 | Training...
step 28930 | Training...
step 28931 | Training...
step 28932 | Training...
step 28933 | Training...
step 28934 | Training...
step 28935 | Training...
step 28936 | Training...
step 28937 | Training...
step 28938 | Training...
step 28939 | Training...
step 28940 | Training...
step 28941 | Training...
step 28942 | Training...
step 28943 | Training...
step 28944 | Training...
step 28945 | Training...
step 28946 | Training...
step 28947 | Training...
step 28948 | Training...
step 28949 | Training...
step 28950 | Training...
step 28951 | Training...
step 28952 | Training...
step 28953 | Training...
step 28954 | Training...
step 28955 | Training...
step 28956 | Training...
step 28957 | Training...
step 28958 | Training...
step 28959 | Training...
step 28960 | Training...
step 28961 | Training...
step 28962 | Training...
step 28963 | Training...
step 28964 | Training...
step 28965 | Training...
step 28966 | Training...
step 28967 | Training...
step 28968 | Training...
step 28969 | Training...
step 28970 | Training...
step 28971 | Training...
step 28972 | Training...
step 28973 | Training...
step 28974 | Training...
step 28975 | Training...
step 28976 | Training...
step 28977 | Training...
step 28978 | Training...
step 28979 | Training...
step 28980 | Training...
step 28981 | Training...
step 28982 | Training...
step 28983 | Training...
step 28984 | Training...
step 28985 | Training...
step 28986 | Training...
step 28987 | Training...
step 28988 | Training...
step 28989 | Training...
step 28990 | Training...
step 28991 | Training...
step 28992 | Training...
step 28993 | Training...
step 28994 | Training...
step 28995 | Training...
step 28996 | Training...
step 28997 | Training...
step 28998 | Training...
step 28999 | Training...
step 29000 | Training...
step 29001 | Training...
step 29002 | Training...
step 29003 | Training...
step 29004 | Training...
step 29005 | Training...
step 29006 | Training...
step 29007 | Training...
step 29008 | Training...
step 29009 | Training...
step 29010 | Training...
step 29011 | Training...
step 29012 | Training...
step 29013 | Training...
step 29014 | Training...
step 29015 | Training...
step 29016 | Training...
step 29017 | Training...
step 29018 | Training...
step 29019 | Training...
step 29020 | Training...
step 29021 | Training...
step 29022 | Training...
step 29023 | Training...
step 29024 | Training...
step 29025 | Training...
step 29026 | Training...
step 29027 | Training...
step 29028 | Training...
step 29029 | Training...
step 29030 | Training...
step 29031 | Training...
step 29032 | Training...
step 29033 | Training...
step 29034 | Training...
step 29035 | Training...
step 29036 | Training...
step 29037 | Training...
step 29038 | Training...
step 29039 | Training...
step 29040 | Training...
step 29041 | Training...
step 29042 | Training...
step 29043 | Training...
step 29044 | Training...
step 29045 | Training...
step 29046 | Training...
step 29047 | Training...
step 29048 | Training...
step 29049 | Training...
step 29050 | Training...
step 29051 | Training...
step 29052 | Training...
step 29053 | Training...
step 29054 | Training...
step 29055 | Training...
step 29056 | Training...
step 29057 | Training...
step 29058 | Training...
step 29059 | Training...
step 29060 | Training...
step 29061 | Training...
step 29062 | Training...
step 29063 | Training...
step 29064 | Training...
step 29065 | Training...
step 29066 | Training...
step 29067 | Training...
step 29068 | Training...
step 29069 | Training...
step 29070 | Training...
step 29071 | Training...
step 29072 | Training...
step 29073 | Training...
step 29074 | Training...
step 29075 | Training...
step 29076 | Training...
step 29077 | Training...
step 29078 | Training...
step 29079 | Training...
step 29080 | Training...
step 29081 | Training...
step 29082 | Training...
step 29083 | Training...
step 29084 | Training...
step 29085 | Training...
step 29086 | Training...
step 29087 | Training...
step 29088 | Training...
step 29089 | Training...
step 29090 | Training...
step 29091 | Training...
step 29092 | Training...
step 29093 | Training...
step 29094 | Training...
step 29095 | Training...
step 29096 | Training...
step 29097 | Training...
step 29098 | Training...
step 29099 | Training...
step 29100 | Training...
step 29101 | Training...
step 29102 | Training...
step 29103 | Training...
step 29104 | Training...
step 29105 | Training...
step 29106 | Training...
step 29107 | Training...
step 29108 | Training...
step 29109 | Training...
step 29110 | Training...
step 29111 | Training...
step 29112 | Training...
step 29113 | Training...
step 29114 | Training...
step 29115 | Training...
step 29116 | Training...
step 29117 | Training...
step 29118 | Training...
step 29119 | Training...
step 29120 | Training...
step 29121 | Training...
step 29122 | Training...
step 29123 | Training...
step 29124 | Training...
step 29125 | Training...
step 29126 | Training...
step 29127 | Training...
step 29128 | Training...
step 29129 | Training...
step 29130 | Training...
step 29131 | Training...
step 29132 | Training...
step 29133 | Training...
step 29134 | Training...
step 29135 | Training...
step 29136 | Training...
step 29137 | Training...
step 29138 | Training...
step 29139 | Training...
step 29140 | Training...
step 29141 | Training...
step 29142 | Training...
step 29143 | Training...
step 29144 | Training...
step 29145 | Training...
step 29146 | Training...
step 29147 | Training...
step 29148 | Training...
step 29149 | Training...
step 29150 | Training...
step 29151 | Training...
step 29152 | Training...
step 29153 | Training...
step 29154 | Training...
step 29155 | Training...
step 29156 | Training...
step 29157 | Training...
step 29158 | Training...
step 29159 | Training...
step 29160 | Training...
step 29161 | Training...
step 29162 | Training...
step 29163 | Training...
step 29164 | Training...
step 29165 | Training...
step 29166 | Training...
step 29167 | Training...
step 29168 | Training...
step 29169 | Training...
step 29170 | Training...
step 29171 | Training...
step 29172 | Training...
step 29173 | Training...
step 29174 | Training...
step 29175 | Training...
step 29176 | Training...
step 29177 | Training...
step 29178 | Training...
step 29179 | Training...
step 29180 | Training...
step 29181 | Training...
step 29182 | Training...
step 29183 | Training...
step 29184 | Training...
step 29185 | Training...
step 29186 | Training...
step 29187 | Training...
step 29188 | Training...
step 29189 | Training...
step 29190 | Training...
step 29191 | Training...
step 29192 | Training...
step 29193 | Training...
step 29194 | Training...
step 29195 | Training...
step 29196 | Training...
step 29197 | Training...
step 29198 | Training...
step 29199 | Training...
step 29200 | Training...
step 29201 | Training...
step 29202 | Training...
step 29203 | Training...
step 29204 | Training...
step 29205 | Training...
step 29206 | Training...
step 29207 | Training...
step 29208 | Training...
step 29209 | Training...
step 29210 | Training...
step 29211 | Training...
step 29212 | Training...
step 29213 | Training...
step 29214 | Training...
step 29215 | Training...
step 29216 | Training...
step 29217 | Training...
step 29218 | Training...
step 29219 | Training...
step 29220 | Training...
step 29221 | Training...
step 29222 | Training...
step 29223 | Training...
step 29224 | Training...
step 29225 | Training...
step 29226 | Training...
step 29227 | Training...
step 29228 | Training...
step 29229 | Training...
step 29230 | Training...
step 29231 | Training...
step 29232 | Training...
step 29233 | Training...
step 29234 | Training...
step 29235 | Training...
step 29236 | Training...
step 29237 | Training...
step 29238 | Training...
step 29239 | Training...
step 29240 | Training...
step 29241 | Training...
step 29242 | Training...
step 29243 | Training...
step 29244 | Training...
step 29245 | Training...
step 29246 | Training...
step 29247 | Training...
step 29248 | Training...
step 29249 | Training...
step 29250 | Training...
step 29251 | Training...
step 29252 | Training...
step 29253 | Training...
step 29254 | Training...
step 29255 | Training...
step 29256 | Training...
step 29257 | Training...
step 29258 | Training...
step 29259 | Training...
step 29260 | Training...
step 29261 | Training...
step 29262 | Training...
step 29263 | Training...
step 29264 | Training...
step 29265 | Training...
step 29266 | Training...
step 29267 | Training...
step 29268 | Training...
step 29269 | Training...
step 29270 | Training...
step 29271 | Training...
step 29272 | Training...
step 29273 | Training...
step 29274 | Training...
step 29275 | Training...
step 29276 | Training...
step 29277 | Training...
step 29278 | Training...
step 29279 | Training...
step 29280 | Training...
step 29281 | Training...
step 29282 | Training...
step 29283 | Training...
step 29284 | Training...
step 29285 | Training...
step 29286 | Training...
step 29287 | Training...
step 29288 | Training...
step 29289 | Training...
step 29290 | Training...
step 29291 | Training...
step 29292 | Training...
step 29293 | Training...
step 29294 | Training...
step 29295 | Training...
step 29296 | Training...
step 29297 | Training...
step 29298 | Training...
step 29299 | Training...
step 29300 | Training...
step 29301 | Training...
step 29302 | Training...
step 29303 | Training...
step 29304 | Training...
step 29305 | Training...
step 29306 | Training...
step 29307 | Training...
step 29308 | Training...
step 29309 | Training...
step 29310 | Training...
step 29311 | Training...
step 29312 | Training...
step 29313 | Training...
step 29314 | Training...
step 29315 | Training...
step 29316 | Training...
step 29317 | Training...
step 29318 | Training...
step 29319 | Training...
step 29320 | Training...
step 29321 | Training...
step 29322 | Training...
step 29323 | Training...
step 29324 | Training...
step 29325 | Training...
step 29326 | Training...
step 29327 | Training...
step 29328 | Training...
step 29329 | Training...
step 29330 | Training...
step 29331 | Training...
step 29332 | Training...
step 29333 | Training...
step 29334 | Training...
step 29335 | Training...
step 29336 | Training...
step 29337 | Training...
step 29338 | Training...
step 29339 | Training...
step 29340 | Training...
step 29341 | Training...
step 29342 | Training...
step 29343 | Training...
step 29344 | Training...
step 29345 | Training...
step 29346 | Training...
step 29347 | Training...
step 29348 | Training...
step 29349 | Training...
step 29350 | Training...
step 29351 | Training...
step 29352 | Training...
step 29353 | Training...
step 29354 | Training...
step 29355 | Training...
step 29356 | Training...
step 29357 | Training...
step 29358 | Training...
step 29359 | Training...
step 29360 | Training...
step 29361 | Training...
step 29362 | Training...
step 29363 | Training...
step 29364 | Training...
step 29365 | Training...
step 29366 | Training...
step 29367 | Training...
step 29368 | Training...
step 29369 | Training...
step 29370 | Training...
step 29371 | Training...
step 29372 | Training...
step 29373 | Training...
step 29374 | Training...
step 29375 | Training...
step 29376 | Training...
step 29377 | Training...
step 29378 | Training...
step 29379 | Training...
step 29380 | Training...
step 29381 | Training...
step 29382 | Training...
step 29383 | Training...
step 29384 | Training...
step 29385 | Training...
step 29386 | Training...
step 29387 | Training...
step 29388 | Training...
step 29389 | Training...
step 29390 | Training...
step 29391 | Training...
step 29392 | Training...
step 29393 | Training...
step 29394 | Training...
step 29395 | Training...
step 29396 | Training...
step 29397 | Training...
step 29398 | Training...
step 29399 | Training...
step 29400 | Training...
step 29401 | Training...
step 29402 | Training...
step 29403 | Training...
step 29404 | Training...
step 29405 | Training...
step 29406 | Training...
step 29407 | Training...
step 29408 | Training...
step 29409 | Training...
step 29410 | Training...
step 29411 | Training...
step 29412 | Training...
step 29413 | Training...
step 29414 | Training...
step 29415 | Training...
step 29416 | Training...
step 29417 | Training...
step 29418 | Training...
step 29419 | Training...
step 29420 | Training...
step 29421 | Training...
step 29422 | Training...
step 29423 | Training...
step 29424 | Training...
step 29425 | Training...
step 29426 | Training...
step 29427 | Training...
step 29428 | Training...
step 29429 | Training...
step 29430 | Training...
step 29431 | Training...
step 29432 | Training...
step 29433 | Training...
step 29434 | Training...
step 29435 | Training...
step 29436 | Training...
step 29437 | Training...
step 29438 | Training...
step 29439 | Training...
step 29440 | Training...
step 29441 | Training...
step 29442 | Training...
step 29443 | Training...
step 29444 | Training...
step 29445 | Training...
step 29446 | Training...
step 29447 | Training...
step 29448 | Training...
step 29449 | Training...
step 29450 | Training...
step 29451 | Training...
step 29452 | Training...
step 29453 | Training...
step 29454 | Training...
step 29455 | Training...
step 29456 | Training...
step 29457 | Training...
step 29458 | Training...
step 29459 | Training...
step 29460 | Training...
step 29461 | Training...
step 29462 | Training...
step 29463 | Training...
step 29464 | Training...
step 29465 | Training...
step 29466 | Training...
step 29467 | Training...
step 29468 | Training...
step 29469 | Training...
step 29470 | Training...
step 29471 | Training...
step 29472 | Training...
step 29473 | Training...
step 29474 | Training...
step 29475 | Training...
step 29476 | Training...
step 29477 | Training...
step 29478 | Training...
step 29479 | Training...
step 29480 | Training...
step 29481 | Training...
step 29482 | Training...
step 29483 | Training...
step 29484 | Training...
step 29485 | Training...
step 29486 | Training...
step 29487 | Training...
step 29488 | Training...
step 29489 | Training...
step 29490 | Training...
step 29491 | Training...
step 29492 | Training...
step 29493 | Training...
step 29494 | Training...
step 29495 | Training...
step 29496 | Training...
step 29497 | Training...
step 29498 | Training...
step 29499 | Training...
step 29500 | Training...
step 29501 | Training...
step 29502 | Training...
step 29503 | Training...
step 29504 | Training...
step 29505 | Training...
step 29506 | Training...
step 29507 | Training...
step 29508 | Training...
step 29509 | Training...
step 29510 | Training...
step 29511 | Training...
step 29512 | Training...
step 29513 | Training...
step 29514 | Training...
step 29515 | Training...
step 29516 | Training...
step 29517 | Training...
step 29518 | Training...
step 29519 | Training...
step 29520 | Training...
step 29521 | Training...
step 29522 | Training...
step 29523 | Training...
step 29524 | Training...
step 29525 | Training...
step 29526 | Training...
step 29527 | Training...
step 29528 | Training...
step 29529 | Training...
step 29530 | Training...
step 29531 | Training...
step 29532 | Training...
step 29533 | Training...
step 29534 | Training...
step 29535 | Training...
step 29536 | Training...
step 29537 | Training...
step 29538 | Training...
step 29539 | Training...
step 29540 | Training...
step 29541 | Training...
step 29542 | Training...
step 29543 | Training...
step 29544 | Training...
step 29545 | Training...
step 29546 | Training...
step 29547 | Training...
step 29548 | Training...
step 29549 | Training...
step 29550 | Training...
step 29551 | Training...
step 29552 | Training...
step 29553 | Training...
step 29554 | Training...
step 29555 | Training...
step 29556 | Training...
step 29557 | Training...
step 29558 | Training...
step 29559 | Training...
step 29560 | Training...
step 29561 | Training...
step 29562 | Training...
step 29563 | Training...
step 29564 | Training...
step 29565 | Training...
step 29566 | Training...
step 29567 | Training...
step 29568 | Training...
step 29569 | Training...
step 29570 | Training...
step 29571 | Training...
step 29572 | Training...
step 29573 | Training...
step 29574 | Training...
step 29575 | Training...
step 29576 | Training...
step 29577 | Training...
step 29578 | Training...
step 29579 | Training...
step 29580 | Training...
step 29581 | Training...
step 29582 | Training...
step 29583 | Training...
step 29584 | Training...
step 29585 | Training...
step 29586 | Training...
step 29587 | Training...
step 29588 | Training...
step 29589 | Training...
step 29590 | Training...
step 29591 | Training...
step 29592 | Training...
step 29593 | Training...
step 29594 | Training...
step 29595 | Training...
step 29596 | Training...
step 29597 | Training...
step 29598 | Training...
step 29599 | Training...
step 29600 | Training...
step 29601 | Training...
step 29602 | Training...
step 29603 | Training...
step 29604 | Training...
step 29605 | Training...
step 29606 | Training...
step 29607 | Training...
step 29608 | Training...
step 29609 | Training...
step 29610 | Training...
step 29611 | Training...
step 29612 | Training...
step 29613 | Training...
step 29614 | Training...
step 29615 | Training...
step 29616 | Training...
step 29617 | Training...
step 29618 | Training...
step 29619 | Training...
step 29620 | Training...
step 29621 | Training...
step 29622 | Training...
step 29623 | Training...
step 29624 | Training...
step 29625 | Training...
step 29626 | Training...
step 29627 | Training...
step 29628 | Training...
step 29629 | Training...
step 29630 | Training...
step 29631 | Training...
step 29632 | Training...
step 29633 | Training...
step 29634 | Training...
step 29635 | Training...
step 29636 | Training...
step 29637 | Training...
step 29638 | Training...
step 29639 | Training...
step 29640 | Training...
step 29641 | Training...
step 29642 | Training...
step 29643 | Training...
step 29644 | Training...
step 29645 | Training...
step 29646 | Training...
step 29647 | Training...
step 29648 | Training...
step 29649 | Training...
step 29650 | Training...
step 29651 | Training...
step 29652 | Training...
step 29653 | Training...
step 29654 | Training...
step 29655 | Training...
step 29656 | Training...
step 29657 | Training...
step 29658 | Training...
step 29659 | Training...
step 29660 | Training...
step 29661 | Training...
step 29662 | Training...
step 29663 | Training...
step 29664 | Training...
step 29665 | Training...
step 29666 | Training...
step 29667 | Training...
step 29668 | Training...
step 29669 | Training...
step 29670 | Training...
step 29671 | Training...
step 29672 | Training...
step 29673 | Training...
step 29674 | Training...
step 29675 | Training...
step 29676 | Training...
step 29677 | Training...
step 29678 | Training...
step 29679 | Training...
step 29680 | Training...
step 29681 | Training...
step 29682 | Training...
step 29683 | Training...
step 29684 | Training...
step 29685 | Training...
step 29686 | Training...
step 29687 | Training...
step 29688 | Training...
step 29689 | Training...
step 29690 | Training...
step 29691 | Training...
step 29692 | Training...
step 29693 | Training...
step 29694 | Training...
step 29695 | Training...
step 29696 | Training...
step 29697 | Training...
step 29698 | Training...
step 29699 | Training...
step 29700 | Training...
step 29701 | Training...
step 29702 | Training...
step 29703 | Training...
step 29704 | Training...
step 29705 | Training...
step 29706 | Training...
step 29707 | Training...
step 29708 | Training...
step 29709 | Training...
step 29710 | Training...
step 29711 | Training...
step 29712 | Training...
step 29713 | Training...
step 29714 | Training...
step 29715 | Training...
step 29716 | Training...
step 29717 | Training...
step 29718 | Training...
step 29719 | Training...
step 29720 | Training...
step 29721 | Training...
step 29722 | Training...
step 29723 | Training...
step 29724 | Training...
step 29725 | Training...
step 29726 | Training...
step 29727 | Training...
step 29728 | Training...
step 29729 | Training...
step 29730 | Training...
step 29731 | Training...
step 29732 | Training...
step 29733 | Training...
step 29734 | Training...
step 29735 | Training...
step 29736 | Training...
step 29737 | Training...
step 29738 | Training...
step 29739 | Training...
step 29740 | Training...
step 29741 | Training...
step 29742 | Training...
step 29743 | Training...
step 29744 | Training...
step 29745 | Training...
step 29746 | Training...
step 29747 | Training...
step 29748 | Training...
step 29749 | Training...
step 29750 | Training...
step 29751 | Training...
step 29752 | Training...
step 29753 | Training...
step 29754 | Training...
step 29755 | Training...
step 29756 | Training...
step 29757 | Training...
step 29758 | Training...
step 29759 | Training...
step 29760 | Training...
step 29761 | Training...
step 29762 | Training...
step 29763 | Training...
step 29764 | Training...
step 29765 | Training...
step 29766 | Training...
step 29767 | Training...
step 29768 | Training...
step 29769 | Training...
step 29770 | Training...
step 29771 | Training...
step 29772 | Training...
